,Accident Type,Speed,Simple Injuries,Severe Injuries,Death,Road Lanes,Road Surfuce Description,Driver Licnesee Type,Light,Weather,City,Number of Cars,Driver Age,Driver Sex,Car,Year,Month
14338,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,dark night,clear,Barrhaven,3.0,51.0,Male,Vehicle,2018,6
14339,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,dark night,clear,Barrhaven,3.0,25.0,Male,Vehicle,2018,6
14340,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 4,lighty night,clear,Montreal,2.0,49.0,Male,Vehicle,2018,6
14341,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Montreal,2.0,33.0,Male,Vehicle,2018,6
14342,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 4,day,clear,Toronto,2.0,41.0,Male,Vehicle,2018,6
14343,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 4,day,clear,Toronto,2.0,39.0,Male,Vehicle,2018,6
14344,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,dark night,clear,Hamilton,2.0,28.0,Male,Truck,2018,6
14345,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Uknown driver,dark night,clear,Hamilton,2.0,118.0,Male,Vehicle,2018,6
14346,Trample,50.0,0.0,0.0,0.0,Two ways,dry,Class 3,lighty night,clear,Quebec City,1.0,38.0,Male,Trailer,2018,6
14347,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 7,day,clear,Quebec City,2.0,49.0,Male,Van,2018,6
14348,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 3 auto,day,clear,Quebec City,2.0,31.0,Female,Vehicle,2018,6
14349,Collision,50.0,2.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Quebec City,2.0,56.0,Male,Trailer,2018,6
14350,Collision,50.0,2.0,0.0,0.0,Two ways,dry,Class 5,day,clear,Quebec City,2.0,70.0,Male,Vehicle,2018,6
14351,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,4.0,42.0,Male,Vehicle,2018,6
14352,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3 auto,lighty night,clear,Toronto,4.0,23.0,Male,Vehicle,2018,6
14353,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,4.0,27.0,Male,Vehicle,2018,6
14354,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,4.0,21.0,Male,Vehicle,2018,6
14355,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 4,lighty night,clear,Orléans,2.0,28.0,Male,Vehicle,2018,6
14356,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Orléans,2.0,18.0,Male,Vehicle,2018,6
14357,Collision,40.0,0.0,0.0,0.0,One way,dry,Class 1,lighty night,clear,Toronto,2.0,0.0,Unkown,Vehicle,2018,6
14358,Collision,40.0,0.0,0.0,0.0,One way,dry,Class 3,lighty night,clear,Toronto,2.0,30.0,Male,Vehicle,2018,6
14359,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 3 auto,lighty night,clear,Toronto,2.0,0.0,Unkown,Vehicle,2018,6
14360,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 3,lighty night,clear,Toronto,2.0,51.0,Female,Vehicle,2018,6
14361,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,lighty night,clear,Toronto,2.0,34.0,Male,Vehicle,2018,6
